Player,Nation,Squad 22-23,Comp,Actual Squad,Age,Height,Weight,Foot,MP,Starts,Min,Goals,Shots,SoT,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,Assists,PasProg,PasAtt,PasLive,PasDead,PasCmp,SCA,GCA,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDriPast,Blocks,BlkSh,BlkPass,Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CarDis,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Recov,AerWon,AerLost,Value (M)
Jakub Kiwior,POL,Spezia,Serie A,Arsenal,24,189.0,75.0,Left,36,36,3090,0.0,1.4,0.29000000000000004,0.06,0.0,0.0,72.8,93.0,1513.9,0.0,5.26,93.0,83.2,9.28,72.8,1.98,0.11,2.4699999999999998,1.61,1.65,0.8200000000000001,0.0,1.3499999999999999,2.8899999999999997,2.11,0.77,2.98,8.59,0.16999999999999998,114.2,18.31,62.5,45.8,6.529999999999999,54.7,282.9,138.0,1.3,0.41000000000000003,0.42,0.54,0.35,0.05,0.0,1.98,0.8,0.05,1.21,1.61,10.67,3.8899999999999997,2.2800000000000002,8.5
Lukas Klostermann,GER,RB Leipzig,Bundesliga,RB Leipzig,28,189.0,88.0,Right,22,14,1348,0.01,1.76,0.48,0.0,0.0,0.0,100.19999999999999,123.7,2038.0,0.08,6.17,123.7,115.30000000000001,7.949999999999999,100.19999999999999,2.46,0.25,5.21,2.69,2.32,2.73,0.17,0.56,0.76,0.34,0.42,3.4299999999999997,4.48,0.0,143.3,6.74,63.9,67.80000000000001,13.0,78.2,347.7,149.3,0.68,0.56,0.88,2.55,0.0,0.0,0.0,1.22,0.65,0.31,2.68,2.69,13.85,2.49,4.76,17.5
Robin Knoche,GER,Union Berlin,Bundesliga,FC Union Berlin,32,190.0,77.0,Right,39,38,3439,0.03,0.99,0.31,0.0,0.05,0.11,96.7,114.69999999999999,1763.9,0.05,9.04,114.69999999999999,112.0,2.31,96.7,2.8200000000000003,0.21000000000000002,4.5,2.41,2.09,1.83,0.58,1.15,1.99,0.57,1.41,2.4000000000000004,5.57,0.1,134.5,10.02,49.800000000000004,68.9,17.060000000000002,76.4,342.20000000000005,167.8,1.15,0.94,1.1,1.77,0.47,0.0,0.0,2.6599999999999997,2.35,0.0,0.47,2.41,13.719999999999999,2.99,2.2600000000000002,5.0
Robin Koch,GER,Leeds United,Premier League,Eintracht Frankfurt,27,191.0,85.0,Right,42,21,2223,0.0,2.43,0.05,0.0,0.0,0.0,101.8,124.2,1780.1,0.0,12.85,124.2,119.7,4.32,101.8,5.31,0.19,4.09,1.6400000000000001,1.46,1.5599999999999998,1.06,0.67,2.92,0.81,2.12,1.87,4.23,0.05,146.8,8.23,44.4,67.0,37.71,86.7,445.3,227.3,4.4,3.7199999999999998,1.97,5.21,0.45,0.0,0.0,1.81,2.1,0.0,3.51,1.6400000000000001,12.86,3.33,2.26,15.5
Ezri Konsa,ENG,Aston Villa,Premier League,Aston Villa,26,183.0,77.0,Right,38,35,3104,0.0,0.54,0.07,0.0,0.0,0.0,94.4,108.5,1718.7,0.0,4.34,108.5,103.6,4.58,94.4,0.9,0.12000000000000001,2.37,0.88,1.4500000000000002,0.61,0.31,0.45999999999999996,1.9300000000000002,0.9299999999999999,1.0,1.76,5.73,0.1,124.1,16.02,65.3,53.8,5.62,74.6,353.2,206.5,0.87,0.6799999999999999,0.12000000000000001,1.15,0.36,0.0,0.0,1.58,2.89,0.0,0.41000000000000003,0.88,8.66,3.44,2.37,23.5
Boubakar Kouyate,MLI,Montpellier,Ligue 1,Montpellier,27,192.0,78.0,Right,22,21,1707,0.02,1.65,0.41,0.35,0.06,0.06,101.5,121.1,1928.1,0.29,10.76,121.1,113.8,7.18,101.5,5.85,0.47,3.56,2.12,1.21,2.12,0.24,1.26,3.29,1.24,2.06,2.62,1.97,0.56,140.2,5.97,46.4,74.8,20.7,92.4,511.9,232.5,1.91,1.74,0.41,1.88,0.12,0.0,0.0,2.8200000000000003,2.12,0.06,5.18,2.12,17.97,3.65,3.21,3.5
Lukas Kubler,GER,Freiburg,Bundesliga,SC Freiburg,31,182.0,74.0,Right,20,11,1037,0.03,2.3,1.04,0.0,0.0,0.0,60.7,90.4,1067.6999999999998,0.0,6.23,90.4,69.6,20.38,60.7,2.99,0.34,4.97,3.12,3.12,1.38,0.47,0.81,2.09,1.27,0.81,2.54,3.25,0.0,112.19999999999999,8.09,36.6,50.0,27.6,47.6,234.0,115.0,2.54,2.3,1.6099999999999999,6.36,0.34,0.0,0.0,2.88,1.5,0.0,5.08,3.12,14.670000000000002,1.97,2.5300000000000002,3.6
Maxence Lacroix,FRA,Wolfsburg,Bundesliga,VfL Wolfsburg,24,190.0,88.0,Right,24,16,1379,0.01,1.22,0.09,0.24,0.0,0.0,86.3,104.69999999999999,1670.1,0.0,7.77,104.69999999999999,100.6,3.63,86.3,2.21,0.0,3.19,2.5900000000000003,1.3399999999999999,1.6099999999999999,0.24,1.02,1.59,0.45,1.1400000000000001,2.81,6.0,0.0,123.9,10.59,49.49,66.5,10.37,74.19999999999999,415.7,217.39999999999998,2.7399999999999998,1.3699999999999999,1.73,2.14,0.24,0.0,0.0,3.13,1.73,0.0,1.28,2.5900000000000003,12.92,3.54,2.5700000000000003,15.5
Julien Laporte,FRA,Lorient,Ligue 1,Lorient,30,185.0,82.0,Right,37,31,2690,0.0,0.9,0.2,0.0,0.0,0.0,79.19999999999999,97.2,1397.5,0.16,5.25,97.2,85.8,11.180000000000001,79.19999999999999,2.7199999999999998,0.39,3.81,2.29,2.55,1.1199999999999999,0.14,1.7599999999999998,2.79,1.6199999999999999,1.17,2.46,7.800000000000001,0.2,121.39999999999999,16.1,54.2,51.2,17.18,74.5,415.5,219.0,2.81,2.57,0.98,4.14,0.22,0.0,0.0,1.86,2.36,0.37,2.73,2.29,10.19,1.93,1.9700000000000002,3.5
Jamaal Lascelles,ENG,Newcastle Utd,Premier League,Newcastle United,30,188.0,83.0,Right,24,18,1538,0.06,3.41,0.75,0.0,0.0,0.0,31.1,38.599999999999994,555.8,0.19,2.09,38.599999999999994,37.0,1.64,31.1,2.08,0.25,1.52,0.44,1.02,0.38,0.13,0.31,2.81,1.67,1.14,0.0,9.27,0.0,60.5,13.51,25.19,21.6,14.03,34.0,152.4,45.8,1.32,1.26,1.13,4.4,2.56,0.0,0.0,3.9,2.55,0.63,0.06,0.44,2.14,4.46,2.53,6.5
