Player,Age,Squad,Height,Weight,Foot,Value
C. Matsima CB,21,"Clermont
Jun 30, 2024 On loan","193cm / 6'4""",80kg / 176lbs,Right,€3.3M
P. Stenzel RB CB,27,"VfB Stuttgart
2020 ~ 2026","183cm / 6'0""",74kg / 163lbs,Right,€1.5M
L. Stergiou CB,21,"VfB Stuttgart
Jun 30, 2024 On loan","180cm / 5'11""",75kg / 165lbs,Right,€3.3M
J. Müller CB,29,"Darmstadt 98
2021 ~ 2024","187cm / 6'2""",77kg / 170lbs,Right,€1.3M
B. Franjić CDM CB LB,23,"Darmstadt 98
Jun 30, 2024 On loan","186cm / 6'1""",77kg / 170lbs,Left,€2.1M
M. Maglica CB,24,"Darmstadt 98
2023 ~ 2027","198cm / 6'6""",99kg / 218lbs,Left,€2.3M
M. Caldara CB,29,"Milan
2018 ~ 2024","187cm / 6'2""",80kg / 176lbs,Right,€1.3M
T. Kristensen CB,21,"Udinese
2023 ~ 2028","198cm / 6'6""",85kg / 187lbs,Right,€3.3M
A. Touba CB,25,"Lecce
Jun 30, 2024 On loan","184cm / 6'0""",81kg / 179lbs,Left,€2M
S. Walukiewicz CB,23,"Empoli
2023 ~ 2024","188cm / 6'2""",85kg / 187lbs,Right,€3.3M
A. Vogliacco CB,24,"Genoa
2021 ~ 2026","186cm / 6'1""",78kg / 172lbs,Right,€3M
A. Carboni CB,22,"Monza
2022 ~ 2027","187cm / 6'2""",80kg / 176lbs,Left,€3.3M
Carlos Domínguez CB,22,"Celta de Vigo
2020 ~ 2026","187cm / 6'2""",71kg / 157lbs,Left,€3.3M
Rafa Marín CB LB,21,"Deportivo Alavés
Jun 30, 2024 On loan","191cm / 6'3""",78kg / 172lbs,Right,€3.3M
A. Mumin CB,25,"Rayo Vallecano
2022 ~ 2026","188cm / 6'2""",79kg / 174lbs,Right,€2.9M
Y. Mosquera CB RB,22,"Villarreal
Jun 30, 2024 On loan","188cm / 6'2""",84kg / 185lbs,Right,€3.3M
Chumi CB RB,24,"Almería
2020 ~ 2025","185cm / 6'1""",75kg / 165lbs,Right,€3M
M. Mbaye CB,25,"Cádiz
2017 ~ 2024","193cm / 6'4""",81kg / 179lbs,Right,€2.2M
Miguel Rubio CB,25,"Granada
2022 ~ 2025","191cm / 6'3""",86kg / 190lbs,Right,€2M
R. Norrington-Davies LWB CB LB,24,"Sheffield United
2018 ~ 2024","181cm / 5'11""",70kg / 154lbs,Left,€1.9M
J. Hill CB RB,21,"AFC Bournemouth
2022 ~ 2026","184cm / 6'0""",73kg / 161lbs,Right,€2.9M
A. Khusanov CB,19,"Lens
2023 ~ 2027","186cm / 6'1""",84kg / 185lbs,Right,€3.1M
J. Belocian CB LB,18,"Rennes
2021 ~ 2025","182cm / 6'0""",73kg / 161lbs,Left,€3M
S. Sow CB,20,"Strasbourg
2023 ~ 2028","185cm / 6'1""",75kg / 165lbs,Right,€2.6M
B. Meïté CB,22,"Olympique de Marseille
Jun 30, 2024 On loan","183cm / 6'0""",75kg / 165lbs,Right,€2.6M
É. Youté Kinkoué CB,21,"Le Havre
2023 ~ 2025","195cm / 6'5""",88kg / 194lbs,Right,€2.9M
F. Ogier CB,34,"Clermont
2018 ~ 2024","183cm / 6'0""",73kg / 161lbs,Right,€450K
C. Groß CDM CB,34,"Werder Bremen
2019 ~ 2024","183cm / 6'0""",75kg / 165lbs,Right,€475K
K. Adams Nuhu CB,28,"TSG Hoffenheim
2018 ~ 2024","190cm / 6'3""",83kg / 183lbs,Right,€1.3M
K. Gjasula CDM CB,33,"Darmstadt 98
2021 ~ 2024","190cm / 6'3""",84kg / 185lbs,Right,€700K
A. Blin CDM CM CB,26,"Lecce
2021 ~ 2025","184cm / 6'0""",78kg / 172lbs,Right,€1.6M
A. Deiola CM CDM CB,27,"Cagliari
2013 ~ 2025","189cm / 6'2""",85kg / 187lbs,Right,€1.5M
M. Pellegrino CB,20,"Salernitana
Jun 30, 2024 On loan","184cm / 6'0""",80kg / 176lbs,Right,€2.9M
K. De Winter CB RWB,21,"Genoa
Jun 30, 2024 On loan","191cm / 6'3""",75kg / 165lbs,Right,€3.2M
M. Fall CB RB,21,"FC Barcelona
Jun 30, 2024 On loan","189cm / 6'2""",74kg / 163lbs,Right,€2.9M
C. Riad CB,20,"Real Betis
Jun 30, 2024 On loan","186cm / 6'1""",78kg / 172lbs,Left,€3.2M
